,Año,Entidad,Delito,Total
0,2015,Aguascalientes,Feminicidio,0
32,2016,Aguascalientes,Feminicidio,0
64,2017,Aguascalientes,Feminicidio,0
96,2018,Aguascalientes,Feminicidio,4
33,2016,Baja California,Feminicidio,12
1,2015,Baja California,Feminicidio,10
65,2017,Baja California,Feminicidio,11
97,2018,Baja California,Feminicidio,27
2,2015,Baja California Sur,Feminicidio,0
34,2016,Baja California Sur,Feminicidio,0
66,2017,Baja California Sur,Feminicidio,0
98,2018,Baja California Sur,Feminicidio,0
35,2016,Campeche,Feminicidio,3
67,2017,Campeche,Feminicidio,1
3,2015,Campeche,Feminicidio,4
99,2018,Campeche,Feminicidio,5
36,2016,Chiapas,Feminicidio,32
68,2017,Chiapas,Feminicidio,29
4,2015,Chiapas,Feminicidio,36
100,2018,Chiapas,Feminicidio,21
101,2018,Chihuahua,Feminicidio,44
37,2016,Chihuahua,Feminicidio,0
5,2015,Chihuahua,Feminicidio,0
69,2017,Chihuahua,Feminicidio,11
38,2016,Ciudad de México,Feminicidio,46
102,2018,Ciudad de México,Feminicidio,47
70,2017,Ciudad de México,Feminicidio,37
6,2015,Ciudad de México,Feminicidio,56
39,2016,Coahuila de Zaragoza,Feminicidio,14
71,2017,Coahuila de Zaragoza,Feminicidio,9
103,2018,Coahuila de Zaragoza,Feminicidio,13
7,2015,Coahuila de Zaragoza,Feminicidio,16
8,2015,Colima,Feminicidio,5
104,2018,Colima,Feminicidio,12
72,2017,Colima,Feminicidio,4
40,2016,Colima,Feminicidio,22
105,2018,Durango,Feminicidio,4
73,2017,Durango,Feminicidio,9
41,2016,Durango,Feminicidio,2
9,2015,Durango,Feminicidio,2
42,2016,Guanajuato,Feminicidio,14
74,2017,Guanajuato,Feminicidio,12
10,2015,Guanajuato,Feminicidio,16
106,2018,Guanajuato,Feminicidio,21
75,2017,Guerrero,Feminicidio,21
107,2018,Guerrero,Feminicidio,33
11,2015,Guerrero,Feminicidio,1
43,2016,Guerrero,Feminicidio,21
76,2017,Hidalgo,Feminicidio,22
12,2015,Hidalgo,Feminicidio,0
108,2018,Hidalgo,Feminicidio,20
44,2016,Hidalgo,Feminicidio,22
13,2015,Jalisco,Feminicidio,62
109,2018,Jalisco,Feminicidio,33
77,2017,Jalisco,Feminicidio,27
45,2016,Jalisco,Feminicidio,48
14,2015,Michoacán de Ocampo,Feminicidio,12
110,2018,Michoacán de Ocampo,Feminicidio,21
78,2017,Michoacán de Ocampo,Feminicidio,29
46,2016,Michoacán de Ocampo,Feminicidio,25
79,2017,Morelos,Feminicidio,27
47,2016,Morelos,Feminicidio,30
111,2018,Morelos,Feminicidio,28
15,2015,Morelos,Feminicidio,15
112,2018,México,Feminicidio,115
48,2016,México,Feminicidio,57
80,2017,México,Feminicidio,70
16,2015,México,Feminicidio,60
81,2017,Nayarit,Feminicidio,5
17,2015,Nayarit,Feminicidio,0
49,2016,Nayarit,Feminicidio,0
113,2018,Nayarit,Feminicidio,4
18,2015,Nuevo León,Feminicidio,1
82,2017,Nuevo León,Feminicidio,43
114,2018,Nuevo León,Feminicidio,79
50,2016,Nuevo León,Feminicidio,3
19,2015,Oaxaca,Feminicidio,8
51,2016,Oaxaca,Feminicidio,67
115,2018,Oaxaca,Feminicidio,29
83,2017,Oaxaca,Feminicidio,57
116,2018,Puebla,Feminicidio,32
84,2017,Puebla,Feminicidio,27
20,2015,Puebla,Feminicidio,6
52,2016,Puebla,Feminicidio,12
53,2016,Querétaro,Feminicidio,1
117,2018,Querétaro,Feminicidio,7
21,2015,Querétaro,Feminicidio,8
85,2017,Querétaro,Feminicidio,1
118,2018,Quintana Roo,Feminicidio,8
22,2015,Quintana Roo,Feminicidio,0
54,2016,Quintana Roo,Feminicidio,0
86,2017,Quintana Roo,Feminicidio,4
23,2015,San Luis Potosí,Feminicidio,7
55,2016,San Luis Potosí,Feminicidio,8
87,2017,San Luis Potosí,Feminicidio,18
119,2018,San Luis Potosí,Feminicidio,27
56,2016,Sinaloa,Feminicidio,39
88,2017,Sinaloa,Feminicidio,82
24,2015,Sinaloa,Feminicidio,14
120,2018,Sinaloa,Feminicidio,48
57,2016,Sonora,Feminicidio,30
89,2017,Sonora,Feminicidio,32
25,2015,Sonora,Feminicidio,24
121,2018,Sonora,Feminicidio,31
26,2015,Tabasco,Feminicidio,8
58,2016,Tabasco,Feminicidio,27
122,2018,Tabasco,Feminicidio,40
90,2017,Tabasco,Feminicidio,28
123,2018,Tamaulipas,Feminicidio,13
91,2017,Tamaulipas,Feminicidio,4
59,2016,Tamaulipas,Feminicidio,1
27,2015,Tamaulipas,Feminicidio,0
92,2017,Tlaxcala,Feminicidio,2
60,2016,Tlaxcala,Feminicidio,1
28,2015,Tlaxcala,Feminicidio,0
124,2018,Tlaxcala,Feminicidio,4
93,2017,Veracruz de Ignacio de la Llave,Feminicidio,100
125,2018,Veracruz de Ignacio de la Llave,Feminicidio,101
29,2015,Veracruz de Ignacio de la Llave,Feminicidio,40
61,2016,Veracruz de Ignacio de la Llave,Feminicidio,58
94,2017,Yucatán,Feminicidio,9
126,2018,Yucatán,Feminicidio,7
62,2016,Yucatán,Feminicidio,1
30,2015,Yucatán,Feminicidio,1
63,2016,Zacatecas,Feminicidio,11
31,2015,Zacatecas,Feminicidio,0
95,2017,Zacatecas,Feminicidio,11
127,2018,Zacatecas,Feminicidio,20
